codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0330,COLI NABO/COLIRABANO,20.0,3.1,CONSUM,Nabicol granel,3.1,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=7,Equivalente a coli-nabo/colirrábano. Precio con IVA. €/kg.
ING-0331,COLIFLOR MORADA,30.0,2.2,CONSUM,Coliflor granel,2.2,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=7,Equivalente a coliflor morada. Precio con IVA. €/kg.
ING-0332,COLIFLOR unidades,30.0,2.2,CONSUM,Coliflor granel,2.2,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=7,Precio con IVA. €/kg indicado por tienda. Merma por hojas/tronco.
ING-0453,COLMENILLAS 500G,0.0,,PENDIENTE,,,,2026-06-13,,Colmenillas 500 g no comparables con colmenilla deshidratada 75 g Makro; revisar proveedor exacto.
ING-0568,COLORANTE Amarillo huevo PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0569,COLORANTE BLANCO PASTA COSMO,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0570,COLORANTE MARRON PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0571,COLORANTE NARANJA PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0572,COLORANTE NEGRO PASTA 200 G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0573,COLORANTE ROJO PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0574,COLORANTE VERDE PASTA 200G,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0575,COLORANTE VIOLETA PASTA (AZUL),0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0576,COLORANTEAMARILLO LIMÓN PASTA 200g,0.0,,PENDIENTE,,,,2026-06-13,,"Colorante de pastelería/decoración: reservar para lote12 o lote08, no lote verduras."
ING-0333,DIENTE DE LEON,10.0,,PENDIENTE,,,,2026-06-13,,Diente de león no localizado con precio oficial claro.
ING-0582,DULCE BONIATO,0.0,,PENDIENTE,,,,2026-06-13,,Dulce de boniato: reservar para lote08 pastelería.
ING-0454,EDAMAME 400G,0.0,6.88,CONSUM,C.NAVARRA edamame en grano 250 g,1.72,250 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/2514?page=2,Producto congelado limpio. Precio con IVA. €/kg indicado por tienda.
ING-0334,ENDIVIA BLANCA 700G,15.0,4.42,CONSUM,Endibia bandeja,1.99,450 g aprox.,2026-06-13,https://tienda.consum.es/es/g/tabla-para-brunch/RECBRUNCH25,Precio con IVA. €/kg indicado por tienda.
ING-0335,ENDIVIA ROJA 300G,15.0,4.42,CONSUM,Endibia bandeja,1.99,450 g aprox.,2026-06-13,https://tienda.consum.es/es/g/tabla-para-brunch/RECBRUNCH25,"Equivalente a endivia roja, sin precio específico. Revisar si se requiere roja."
ING-0336,ENELDO 125G,10.0,102.5,CONSUM,CONSUM eneldo 20 g,2.05,20 g,2026-06-13,https://tienda.consum.es/es/g/combo-de-tortitas/RECTORT25,"Precio con IVA. Convertido desde 10,25 €/100 g a €/kg."
ING-0337,ESCAROLA FRISSE 500G,20.0,6.63,CONSUM,Escarola frisee bandeja,1.99,300 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.
ING-0338,ESPARRAGO BLANCO 25u=2k,30.0,13.0,CONSUM,Espárrago grueso fresco,3.9,300 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/esparragos/2200,Equivalente a espárrago blanco/fresco por falta de blanco fresco. Revisar producto.
ING-0455,ESPARRAGO VERDE 1K,20.0,15.47,CONSUM,VERLEAL espárrago verde 300 g congelado,4.64,300 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/otros-vegetales/5095,Producto congelado. Precio con IVA. €/kg indicado por tienda.
ING-0339,ESPARRAGO VERDE FINO,20.0,9.8,CONSUM,Espárrago triguero,2.45,250 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/esparragos/2200,Precio con IVA. €/kg indicado por tienda.
ING-0340,ESPARRAGO VERDE jumbo 250 G,20.0,13.0,CONSUM,Espárrago grueso,3.9,300 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/esparragos/2200,Precio con IVA. €/kg indicado por tienda.
ING-0755,ESPARRAGO YEMAS FINA 1ªARO,0.0,,PENDIENTE,,,,2026-06-13,,Espárrago conserva ARO: reservar para lote09 almacén seco/conservas.
ING-0756,"ESPARRAGOS BLANCO TALLO 1,5 K",0.0,,PENDIENTE,,,,2026-06-13,,Espárrago blanco conserva: reservar para lote09 almacén seco/conservas.
ING-0757,ESPARRAGOS P.B.9-12 ARO LT 500,0.0,,PENDIENTE,,,,2026-06-13,,Espárrago conserva: reservar para lote09 almacén seco/conservas.
ING-0758,ESPECIAS AJO EN POLVO 85 G,0.0,,PENDIENTE,,,,2026-06-13,,Ajo en polvo: reservar para lote09 especias/condimentos.
